time;a;d;g;r;p1;p2;p3;p4;p5;p6;p7;p8;p9;p10
590;117.758;3.7060227;1.83392;0.2539462;7.76697;-5.24988;3.64603;2.17891;1.04424;0.56272;0.57942;0.25341;0.43596;-0.58517
600;115.131;3.6205633;1.82121;0.2639191;7.68462;-4.52729;3.99134;1.91964;0.55196;-0.27193;0.66198;0.26235;0.76162;-0.40944
610;115.399;3.5178216;1.82096;0.2689682;7.39974;-4.74688;3.99518;1.60236;0.45886;-0.359;0.47651;0.48257;0.55943;-0.31154
620;115.992;3.4673414;1.80145;0.2808404;7.05906;-4.14117;3.9123;1.29035;0.06607;-0.55162;0.27437;0.66796;1.03787;-0.70431
630;115.942;3.4520617;1.80647;0.272164;7.11929;-4.21573;4.33314;1.32716;-0.18067;-0.85267;0.58499;0.42501;1.13801;-0.52884
640;114.502;3.5213113;1.80184;0.2577465;7.32532;-4.5062;4.56781;1.78439;0.2694;-0.46055;1.1203;0.52769;1.02994;-0.22045
650;113.877;3.4683316;1.79877;0.2693246;7.31716;-3.99745;5.22844;1.36419;-0.6068;-1.14903;0.77288;0.79065;1.48039;-0.10922
660;113.6;3.3267992;1.78924;0.2644609;6.52716;-4.67384;4.92977;1.25815;-0.45745;-1.38455;0.96169;1.34899;1.17811;-0.13288
670;112.933;3.2605615;1.77627;0.2774602;5.67636;-5.1791;4.48951;1.13072;-0.2029;-1.43052;1.19495;1.58064;0.94499;-0.06514
680;111.792;3.1532001;1.7846;0.2969687;5.35106;-5.62095;4.42633;1.32165;-0.18861;-1.99737;1.0301;1.91651;0.69736;0.16045
690;112.098;3.2893131;1.78568;0.3080908;5.21971;-5.90721;4.15564;1.02311;0.22588;-2.08489;0.54383;2.08895;0.80265;-0.30835
700;115.33;3.3725321;1.79293;0.2915118;5.49025;-6.0676;3.98065;1.26961;0.50262;-1.61687;0.50027;1.82241;0.38161;-0.39578
710;114.493;3.4568212;1.80486;0.2916347;5.70246;-6.52319;3.64798;1.88407;0.58689;-1.7913;0.72685;1.74039;0.41293;-0.82518
720;113.103;3.4715238;1.8197;0.2920216;6.05186;-6.66048;3.31753;1.40053;1.06766;-1.02726;0.57136;1.79933;0.50147;-0.50717
730;113.394;3.3944235;1.81034;0.2951941;5.91817;-6.74974;3.1986;1.46842;0.74414;-1.46681;0.19307;1.8088;0.26689;-0.52715
740;112.074;3.3773141;1.81291;0.3025849;5.70615;-7.23372;2.73115;1.19994;0.87814;-1.68173;0.25225;1.8716;0.32847;-0.77665
750;113.783;3.3220317;1.80697;0.3310947;5.45838;-6.8496;2.13911;1.80475;0.84534;-1.92066;0.00791;1.84949;0.16633;-1.09779
760;117.56;3.340533;1.8206;0.3134472;5.70856;-7.51753;2.37334;2.0378;0.85069;-1.04994;0.26847;1.66458;-0.07209;-0.61963
770;115.066;3.2571082;1.80144;0.3084303;5.15477;-6.68895;2.87828;1.46154;0.93045;-1.14236;0.20963;1.77291;0.10889;-0.57393
